id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,id_victim,type,situation,circumstances,deathDate,personType,age,ageGroup,genre,race,place,serviceStatus,qualifications,politicalPosition,politicalStatus,partie,coorporation,agentPosition,agentStatus,unit
54242,"Rua Souza Bandeira, - Vila Santa Luzia - Torre, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,TORRE,,VILA SANTA LUZIA,-8.0474105,-34.9173176,"31/12/2022, 21:00:00",false,false,,Homicidio/Tentativa,,,false,b24cca34-5f2a-420d-ad9e-40c517fb3433,People,dead,Sem identificação,"01/01/2023, 05:00:00",Civilian,38,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54230,"R. São Bento - Córrego do Eucalipto - Macaxeira, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,MACAXEIRA,,CORREGO DO EUCALIPTO,-8.0089277,-34.9275418,"31/12/2022, 21:20:00",false,false,,Homicidio/Tentativa,,,false,c53130b3-ddc5-43f4-869f-34b4efc6263d,People,dead,Sem identificação,"31/12/2022, 21:20:00",Civilian,22,adulto,homem cis,Negra,residência,de folga,Outros,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54236,"Torre, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,TORRE,,,-8.045010999999999,-34.9099178,"01/01/2023, 09:30:00",false,false,,Homicidio/Tentativa,,,false,c6f733ff-05d3-41fa-99f1-7d8987e2d929,People,dead,Sem identificação,"01/01/2023, 09:30:00",Civilian,20,adulto,homem cis,Negra,sem identificação,não se aplica,PPTE,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54299,"Avenida Norte Miguel Arraes de Alencar - Tamarineira, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,TAMARINEIRA,,,-8.0296815,-34.9004687,"03/01/2023, 23:30:00",false,false,,Homicidio/Tentativa,,,false,5b300546-1e9f-47d3-9be0-4f2eeed941f1,People,dead,Sem identificação,"04/01/2023, 23:30:00",Civilian,,adulto,mulher cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54294,"R. Visc. de Abaeté - Tamarineira, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,TAMARINEIRA,,,-8.0296321,-34.8983341,"05/01/2023, 00:00:00",false,false,,Homicidio/Tentativa,,,false,d43f06d8-bbd0-4a5f-8d64-8774d73925fe,People,dead,Sem identificação,"05/01/2023, 00:00:00",Civilian,,adulto,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54310,"Rua Ernesto Cavalcanti, 150 - Afogados, Recife - PE, 50760-002, Brasil",Nordeste,Pernambuco,RECIFE,AFOGADOS,,,-8.074233,-34.914681,"05/01/2023, 15:00:00",false,false,,Homicidio/Tentativa,,,false,ccc24818-54d6-48a9-baec-a05886831507,People,dead,Sem identificação,"05/01/2023, 15:00:00",Civilian,,adulto,homem cis,Não identificado,residência,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54323,"Praia de Brasília Teimosa - Brasília Teimosa, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,BRASILIA TEIMOSA,,,-8.085912,-34.87836619999999,"06/01/2023, 20:00:00",false,false,,Homicidio/Tentativa,,,false,d25567dc-a707-49af-b532-73db9d31f0a6,People,dead,Sem identificação,"06/01/2023, 21:00:00",Civilian,21,adulto,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54326,"Comunidade do Caiara- Iputinga, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,IPUTINGA,,COMUNIDADE CAIARA,-8.0367128,-34.9352704,"07/01/2023, 13:00:00",false,false,,Homicidio/Tentativa,,,false,cc1d3f91-a3af-4e0e-84d2-2b4b71c5a68c,People,dead,Sem identificação,"07/01/2023, 13:00:00",Civilian,25,adulto,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54365,"Boa Viagem, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,BOA VIAGEM,,,-8.1317303,-34.902409,"07/01/2023, 17:00:00",true,true,PM (ROCAM),Ação policial,,Perseguição,false,557f2887-fe8c-4e85-9734-af0957e6dfe0,People,wounded,Sem identificação,,Civilian,29,adulto,homem cis,Negra,sem identificação,de folga,Outros,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54358,"Tv. Severino Miguel de Moura 2 - Sítio dos Pintos, Recife - Pernambuco, Brasil",Nordeste,Pernambuco,RECIFE,SITIO DOS PINTOS,,,-8.0172021,-34.9611683,"08/01/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,39247627-dc94-4f5c-9358-d7526e9bb67b,People,dead,Sem identificação,"08/01/2023, 21:00:00",Civilian,30,adulto,homem cis,Não identificado,residência,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54371,"Rua Jaguaruana - Jiquiá, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,JIQUIA,,,-8.0893844,-34.9207314,"09/01/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,96793a08-f30d-4dde-ab5f-343c276dce84,People,dead,Sem identificação,"09/01/2023, 21:00:00",Civilian,34,adulto,homem cis,Não identificado,sem identificação,não se aplica,PPTE,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54385,"Rua Professor Gondin Filho - Boa Viagem, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,BOA VIAGEM,,,-8.1075437,-34.8886644,"11/01/2023, 15:00:00",false,false,,Tentativa/Roubo,,,false,ec21d100-2792-45a4-aa90-5c2e081b3bc7,People,wounded,Sem identificação,,Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54428,"R. Regina- Comunidade do Burity - Macaxeira, Recife - PE, 52090-280, Brasil",Nordeste,Pernambuco,RECIFE,MACAXEIRA,,COMUNIDADE DO ALTO DO BURITY,-8.013989,-34.9281663,"13/01/2023, 02:00:00",false,false,,Homicidio/Tentativa,,,false,a051bc1c-02b1-420c-a260-cbca7a982674,People,dead,Sem identificação,"13/01/2023, 02:00:00",Civilian,23,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54435,"Rua Vinte e Um de Julho - Alto José do Pinho, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,ALTO JOSE DO PINHO,,,-8.0230782,-34.9079298,"14/01/2023, 06:00:00",false,false,,Homicidio/Tentativa,,,false,802e3abc-1120-4768-9ce9-166f0d624a4c,People,dead,Sem identificação,"14/01/2023, 06:00:00",Civilian,17,adolescente,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54441,"R. Figueira de Melo - Areias, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,AREIAS,,,-8.0857663,-34.9321396,"14/01/2023, 14:00:00",false,false,,Homicidio/Tentativa,,,false,c43cc2d0-fa26-41b6-a728-73f82ccf480c,People,dead,Sem identificação,"14/01/2023, 14:00:00",Civilian,31,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54442,"Rua Roraima - Várzea, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,VARZEA,UR 07,,-8.0370394,-34.9801219,"14/01/2023, 14:00:00",false,false,,Homicidio/Tentativa,,,false,c71db460-f625-4d1d-a1b9-54dfe9f7afbe,People,dead,Sem identificação,"14/01/2023, 14:00:00",Civilian,34,adulto,homem cis,Negra,sem identificação,não se aplica,PPTE,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54443,"Rua Cabo Hermito de Sá - Brejo da Guabiraba, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,BREJO DA GUABIRABA,,,-7.9934192,-34.9308802,"14/01/2023, 15:00:00",false,false,,Homicidio/Tentativa,,,false,be1eb556-1664-43ce-902a-52f50510232b,People,dead,Sem identificação,"14/01/2023, 15:00:00",Civilian,24,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54461,"Av. Nova do Fundão - Cajueiro, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,CAJUEIRO,ALTO CAJUEIRO,,-8.0145182,-34.8867904,"14/01/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,c812e3f6-b110-4952-9acd-ef55f5d9f84e,People,dead,Sem identificação,"14/01/2023, 21:00:00",Civilian,28,adulto,homem cis,Não identificado,barbearia,não se aplica,PPTE,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54462,"R. Cuité - Brejo da Guabiraba, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,BREJO DA GUABIRABA,,,-7.9938196,-34.9317956,"14/01/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,56ddcdb9-bd54-4eb4-9282-fc905f80a11a,People,dead,Sem identificação,"14/01/2023, 21:00:00",Civilian,24,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54470,"Av. Dois Rios, 1600 - Ibura, Recife - PE, 51290-410, Brasil",Nordeste,Pernambuco,RECIFE,IBURA,,,-8.11991150715977,-34.944167630994784,"15/01/2023, 11:00:00",false,false,,Homicidio/Tentativa,,,false,01d6fa6c-5c75-4c70-8afc-2c26b33e0871,People,dead,Bala perdida,"15/01/2023, 11:00:00",Civilian,41,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54470,"Av. Dois Rios, 1600 - Ibura, Recife - PE, 51290-410, Brasil",Nordeste,Pernambuco,RECIFE,IBURA,,,-8.11991150715977,-34.944167630994784,"15/01/2023, 11:00:00",false,false,,Homicidio/Tentativa,,,false,bdaff89c-ea82-4d3c-a9cf-fd46b946039b,People,wounded,Sem identificação,,Civilian,22,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54471,"Rua Alto do Reservatório - Nova Descoberta, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,NOVA DESCOBERTA,,,-7.9976859,-34.9336551,"15/01/2023, 17:00:00",false,false,,Homicidio/Tentativa,,,false,f7a11332-2c83-4ca8-afd9-aacb38f61462,People,dead,Sem identificação,"15/01/2023, 17:00:00",Civilian,,adulto,homem cis,Negra,residência,não se aplica,PPTE,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54487,"Rua Doutor José Marcionilo de Barros Lins - Iputinga, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,IPUTINGA,,,-8.0294593,-34.931231,"15/01/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,824e101d-42c1-464e-bed5-88dcb4efb109,People,dead,Sem identificação,"15/01/2023, 21:00:00",Civilian,26,adulto,homem cis,Não identificado,sem identificação,não se aplica,PPTE,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54488,"R. Cruzeiro, 799 - Brejo da Guabiraba, Recife - PE, 52291-107, Brasil",Nordeste,Pernambuco,RECIFE,BREJO DA GUABIRABA,,,-7.994556478206242,-34.93094022366486,"15/01/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,b83e9e81-abff-4675-8f9c-23df4b1297e1,People,dead,Sem identificação,"15/01/2023, 21:00:00",Civilian,28,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54490,"R. Ônix - Jardim São Paulo, Recife - PE, 50910-545, Brasil",Nordeste,Pernambuco,RECIFE,JARDIM SAO PAULO,,,-8.0858649,-34.9434622,"16/01/2023, 18:00:00",false,false,,Homicidio/Tentativa,,,false,16dc1a26-aa29-47ba-9f02-c86826e52cad,People,dead,Sem identificação,"16/01/2023, 18:00:00",Civilian,23,adulto,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54509,"Rua Ranusia Alves Rodrigues - Macaxeira, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,MACAXEIRA,,,-8.0091314,-34.9304297,"16/01/2023, 21:00:00",false,true,,Tentativa/Roubo,,,false,88888c5b-aa83-4b9b-8f48-513c80d9f51f,People,wounded,Sem identificação,,Agent,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Agente de segurança,não se aplica,não se aplica,,polícia militar,soldado,não identificado,
54510,"Comunidade da Portelinha - Jiquiá, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,JIQUIA,,COMUNIDADE DA PORTELINHA,-8.0773218,-34.9244155,"16/01/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,976d2122-fc76-4711-aba4-f767a65bc23f,People,wounded,Sem identificação,,Civilian,24,adulto,mulher cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54494,"Corrego do Tiro, - Bomba do Hemetério, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,BOMBA DO HEMETERIO,,CORREGO DO TIRO,-8.0183593,-34.9063994,"17/01/2023, 12:30:00",false,false,,Homicidio/Tentativa,,,false,a27d3b42-7b91-4798-9729-f895973b715d,People,wounded,Bala perdida,,Civilian,26,adulto,homem cis,Não identificado,lava jato,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54494,"Corrego do Tiro, - Bomba do Hemetério, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,BOMBA DO HEMETERIO,,CORREGO DO TIRO,-8.0183593,-34.9063994,"17/01/2023, 12:30:00",false,false,,Homicidio/Tentativa,,,false,edde7424-de2d-4132-8266-b521e56ecefd,People,dead,Sem identificação,"17/01/2023, 12:30:00",Civilian,21,adulto,homem cis,Negra,sem identificação,não se aplica,PPTE,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54524,"Rua Engenheiro Arnaldo Lima - Comunidade Capua, - Areias, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,AREIAS,,COMUNIDADE CAPUA,-8.088953,-34.9344908,"17/01/2023, 15:00:00",false,false,,Homicidio/Tentativa,,,false,d3ee31e0-5356-42cc-aa45-2068694cd6e8,People,dead,Sem identificação,"18/01/2023, 15:00:00",Civilian,54,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54511,"R. Santa Gertrúdes - Morro da Conceição, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,MORRO DA CONCEICAO,,,-8.0199494,-34.9124302,"17/01/2023, 19:00:00",false,false,,Homicidio/Tentativa,,,false,8f8b0cb0-17e8-4bd0-a261-89a1b9bf3c68,People,dead,Sem identificação,"17/01/2023, 19:00:00",Civilian,48,adulto,mulher cis,Negra,residência,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54537,"Rua Córrego Manoel das Meninas - Brejo da Guabiraba, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,BREJO DA GUABIRABA,,,-7.9936073,-34.9333627,"17/01/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,be539b67-8dcb-4343-999a-2e62b438f890,People,wounded,Sem identificação,,Civilian,,adulto,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54527,"Escola Técnica Estadual Professor Alfredo Freyre - Rua Zeferino Agra - Água Fria, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,AGUA FRIA,,,-8.0211568,-34.8925916,"18/01/2023, 15:00:00",false,false,,Tentativa/Roubo,,Outros,false,6a1690b7-65e9-4da4-b431-61118fd7a9e3,People,dead,Sem identificação,"18/01/2023, 15:00:00",Civilian,30,adulto,homem cis,Não identificado,unidade de ensino,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54539,"Comunidade Canaã - Nova Descoberta, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,NOVA DESCOBERTA,,COMUNIDADE CANAA,-8.0147993,-34.9238892,"18/01/2023, 18:00:00",false,false,,Homicidio/Tentativa,,,false,c289324e-33c5-4d12-b70e-27703a62771b,People,wounded,Sem identificação,,Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54545,"R. Vinte e Um de Abril, 1385 - Mangueira, Recife - PE, 50820-000, Brasil",Nordeste,Pernambuco,RECIFE,MANGUEIRA,,,-8.0750899,-34.9194699,"18/01/2023, 21:00:00",false,false,,Tentativa/Roubo,,,false,e2ad0d87-bcf5-4de8-b84e-6a065a369b76,People,wounded,Sem identificação,,Civilian,,adulto,mulher cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54557,"EMLURB - Diretoria de Limpeza Urbana -Caçote - Avenida Recife - Caçote, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,CACOTE,,COMUNIDADE CHICO MENDES,-8.101899999999999,-34.9283688,"19/01/2023, 21:00:00",false,false,,Tentativa/Roubo,,,false,38471371-1b71-476c-81ce-4fdc5837e6e5,People,dead,Sem identificação,"19/01/2023, 21:00:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54585,"R. Alto das Pedrinhas - Nova Descoberta, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,NOVA DESCOBERTA,,ALTO DAS PEDRINHAS,-8.0142231,-34.9241607,"20/01/2023, 18:00:00",false,false,,Homicidio/Tentativa,,,false,7f631069-b6b1-4d41-bfc5-5ad6dbf1d204,People,wounded,Sem identificação,,Civilian,,adulto,mulher cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54585,"R. Alto das Pedrinhas - Nova Descoberta, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,NOVA DESCOBERTA,,ALTO DAS PEDRINHAS,-8.0142231,-34.9241607,"20/01/2023, 18:00:00",false,false,,Homicidio/Tentativa,,,false,45db9d7d-03fb-4690-bfe0-874b562fd74d,People,dead,Sem identificação,"20/01/2023, 18:00:00",Civilian,21,adulto,homem cis,Branca,sem identificação,não se aplica,PPTE,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54586,"Rua Dois de Fevereiro - Vasco da Gama, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,VASCO DA GAMA,,,-8.0180603,-34.9176824,"21/01/2023, 13:00:00",false,false,,Homicidio/Tentativa,,,false,d991810d-e758-4892-a64b-08101915d946,People,wounded,Sem identificação,,Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54621,"R. Profa. Priscila Ferreira - Coelhos, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,COELHOS,,CONJUNTO HABITACIONAL DOS COELHOS,-8.065961,-34.8878385,"21/01/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,7db480bd-c134-498d-a549-e6ccd678d71f,People,dead,Sem identificação,"21/01/2023, 21:00:00",Civilian,20,adulto,homem cis,Negra,sem identificação,em serviço,Outros,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54670,"Rua Luís Câmara - Jordão, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,JORDAO,,,-8.1396667,-34.9319478,"23/01/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,48695d8e-829b-49b7-81b3-50dab42037ab,People,dead,Sem identificação,"23/01/2023, 21:00:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54654,"Rua Abel de Sá Bezerra Cavalcante - Casa Amarela, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,CASA AMARELA,,,-8.0280277,-34.9086299,"23/01/2023, 22:30:00",false,false,,Tentativa/Roubo,,,false,882b11db-0f7f-41c3-918f-8c752975f522,People,wounded,Sem identificação,,Civilian,27,adulto,homem cis,Não identificado,sem identificação,em serviço,Entregador / Motoboy,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54675,"Rua São Vicente de Paula - Várzea, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,VARZEA,JARDIM TERESOPOLIS II,,-8.033155,-34.976574,"24/01/2023, 12:00:00",false,false,,Homicidio/Tentativa,,,false,bd5c7075-d550-4202-91bf-f210b1856c43,People,dead,Sem identificação,"24/01/2023, 12:00:00",Civilian,21,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54698,"Ilha do Retiro, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,ILHA DO RETIRO,,COMUNIDADE CARANGUEJO TABAIARES,-8.064901899999999,-34.9051721,"24/01/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,18e02ba2-5dc2-40d9-bcec-e6c95d4c7520,People,dead,Sem identificação,"24/01/2023, 21:00:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54688,"Rua São Bento - Macaxeira, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,MACAXEIRA,,,-8.0089277,-34.9275418,"24/01/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,7f79512a-a9b7-4e53-8b64-d46bc237feb7,People,dead,Sem identificação,"24/01/2023, 21:00:00",Civilian,44,adulto,homem cis,Branca,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54714,"R. Áurea - Bomba do Hemetério, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,BOMBA DO HEMETERIO,,,-8.0184647,-34.9066676,"26/01/2023, 13:00:00",false,false,,Homicidio/Tentativa,,,false,4c0f0342-ddf9-41bf-b760-061840d6d3dc,People,dead,Sem identificação,"26/01/2023, 13:00:00",Civilian,22,adulto,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54730,"Rua Bento de Abreu - Córrego do Jenipapo, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,CORREGO DO JENIPAPO,,,-8.0034969,-34.9369701,"26/01/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,eee5e056-d13b-4c1d-b51f-578c32b7a2a0,People,dead,Sem identificação,"26/01/2023, 21:00:00",Civilian,,adulto,homem cis,Branca,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54727,"Rua Córrego do Euclídes - Alto José Bonifacio, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,ALTO JOSE BONIFACIO,,,-8.0131948,-34.9148128,"27/01/2023, 07:00:00",false,false,,Tentativa/Roubo,,,false,97110639-146a-4e6f-9d72-f49fa005ebb4,People,dead,Sem identificação,"27/01/2023, 07:00:00",Civilian,30,adulto,homem cis,Negra,barbearia,em serviço,Outros,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54768,"Rua Imperador Dom Pedro II - Santo Antônio, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,SANTO ANTONIO,,,-8.0637964,-34.8768857,"27/01/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,85d2a34b-6c65-4b0a-b577-44b2941d08f1,People,dead,Sem identificação,"28/01/2023, 21:00:00",Civilian,25,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54746,"Rua Quatiguá - Dois Unidos, Recife - Pernambuco",Nordeste,Pernambuco,RECIFE,DOIS UNIDOS,,ALTO DO CAPITAO,-8.0019962,-34.9154155,"28/01/2023, 18:00:00",false,false,,Homicidio/Tentativa,,,false,3623f5e3-e1a1-4961-af88-68d6f0a66344,People,dead,Sem identificação,"28/01/2023, 18:00:00",Civilian,23,adulto,homem cis,Negra,sem identificação,não se aplica,PPTE,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54770,"Rua João Sáles de Menezes - Várzea, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,VARZEA,,BRASILIT,-8.0383956,-34.9476579,"29/01/2023, 20:00:00",false,false,,Homicidio/Tentativa,,,false,b38ed5dd-4f49-4a7d-ab50-1dc15d417b1a,People,dead,Sem identificação,"29/01/2023, 20:00:00",Civilian,24,adulto,homem cis,Não identificado,sem identificação,não identificado,Outros,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54809,"Avenida Dois Rios - Ibura, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,IBURA,,,-8.1131487,-34.9387406,"29/01/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,3929763d-cf82-4ba0-bae3-d72bd0a35cd7,People,wounded,Sem identificação,,Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,